"uid","level","progress","n","complete_rate","days","speed"
"2c86585d0477cf06d68265dfc3b19133",261,218,3743,0.0406091370558376,32,6.8125
"72ef1fc53014a5674693810f3727dc90",525,524,643,0.816485225505443,27,19.4074074074074
"70b19b3eeccfe948f2a300ae6c64dbda",277,151,3129,0.0409076382230745,32,4.71875
"9f8081062efffbe549a00aecdea6b90f",345,121,3155,0.0538827258320127,33,3.66666666666667
"16cad53f6d2a41d9841d0ff5d4bf06a7",525,524,527,0.996204933586338,28,18.7142857142857
"6f772664f3a50e16fbf72860bbb46626",498,489,533,0.919324577861163,31,15.7741935483871
"3fe5aa956570f92b105629ee08e5c724",438,222,4459,0.0497869477461314,33,6.72727272727273
"2b9c230218e3ace1fc3204dda60110c1",525,519,551,0.943738656987296,31,16.741935483871
"9b73922d26b85f772421931e84bf3c17",235,234,86,0.546511627906977,1,234
"b3e3c7f8ec3e4b68dd7a4476ec996a41",235,234,33,0.757575757575758,1,234
"6b55c6812ceabcd81033a1c3b2925134",334,333,18,0.666666666666667,1,333
